Date_started,Temporada,Dia_semana,Dia_laboral,Feriado_WDC,Year,Month,Day,Temperatura mínima diaria,Temperatura máxima diaria,Velocidad del viento máxima constante,Precipitaciones totales diarias,Presión,Descripción,Predicted_member,Predicted_casual
2024-03-11,2,1,1,0,2024,3,11,4.0,5.0,37.0,0.5,1009.7000122070312,4.0,5580.815987103178,2083.8455555555556
2024-03-12,2,2,1,0,2024,3,12,7.0,12.0,15.0,0.0,1016.0999755859376,0.0,6970.25243551587,3703.278888888889
2024-03-13,2,3,1,0,2024,3,13,10.0,19.0,13.0,0.0,1012.5999755859376,0.0,7806.317368371216,4056.5655555555554
2024-03-14,2,4,1,0,2024,3,14,10.0,16.0,13.0,0.0,1015.0,0.0,7789.789391188668,4337.507777777778
2024-03-15,2,5,1,0,2024,3,15,16.0,19.0,22.508771896362305,0.0,1012.0,0.0,7211.453113095239,4521.737777777777
2024-03-16,2,6,0,0,2024,3,16,11.0,17.0,32.0,0.5,1010.2000122070312,1.0,5899.2517162698405,4685.876666666667
2024-03-17,2,7,0,0,2024,3,17,11.0,14.0,16.0,0.0,1005.2999877929688,0.0,6884.614873511913,7077.585555555555
2024-03-18,2,1,1,0,2024,3,18,8.0,16.0,32.0,0.0,1005.5999755859376,0.0,6466.263169642858,3192.5
2024-03-19,2,2,1,0,2024,3,19,3.0,5.0,35.0,0.0,1012.5,0.0,5614.862047123012,1974.2977777777778
2024-03-20,2,3,1,0,2024,3,20,9.0,9.0,22.508771896362305,0.0,1006.2999877929688,0.0,7514.17296577381,3460.883333333333
2024-03-21,2,4,1,0,2024,3,21,1.0,9.0,42.0,0.0,1020.2999877929688,0.0,6137.0199980158695,2567.76
2024-03-22,2,5,1,0,2024,3,22,4.0,8.0,22.508771896362305,0.0,1026.0999755859375,0.0,6410.70959672619,3539.1188888888887
2024-03-23,2,6,0,0,2024,3,23,7.0,9.0,16.0,0.5,1017.7000122070312,1.0,5800.458359126984,4816.848888888889
2024-03-24,2,7,0,0,2024,3,24,1.0,4.0,37.0,40.79999923706055,1019.0999755859376,0.0,4428.805499007936,2218.288888888889
2024-03-25,2,1,1,0,2024,3,25,3.0,8.0,13.0,0.0,1027.9000244140625,0.0,6461.743850694448,3011.281111111111
2024-03-26,2,2,1,0,2024,3,26,4.0,16.0,21.0,0.0,1022.7000122070312,0.0,6849.2274409722195,3407.5
2024-03-27,2,3,1,0,2024,3,27,8.0,10.0,16.0,0.0,1018.5,0.0,7435.523157738098,3504.617777777778
2024-03-28,2,4,1,0,2024,3,28,9.0,12.0,26.0,21.299999237060547,1015.5999755859376,1.0,7113.450085317462,3232.0377777777776
2024-03-29,2,5,1,0,2024,3,29,7.0,11.0,22.0,1.5,1014.2999877929688,0.0,6217.877007440472,3851.632222222222
2024-03-30,2,6,0,0,2024,3,30,7.0,13.0,21.0,0.0,1013.2999877929688,0.0,6108.685720238098,5623.537777777778
2024-03-31,2,7,0,0,2024,3,31,11.0,13.0,45.0,0.2000000029802322,1008.0,2.0,5534.13696378968,4958.55
2024-04-01,2,1,1,0,2024,4,1,11.0,14.0,22.0,5.800000190734863,1013.0,2.0,7815.672135912696,3452.22
2024-04-02,2,2,1,0,2024,4,2,11.0,12.0,16.0,6.300000190734863,1014.4000244140624,1.0,8145.800817775964,3564.6744444444444
